feature,psi
TotalCharges,0.005996078916294086
contract_x_charge,0.005878287659219522
PhoneService,0.0038020420441537074
tenure,0.0031661846368964694
charges_per_tenure,0.0031383410816979494
tenure_bin,0.0027160102669384336
MonthlyCharges,0.001801434877411176
fiber_x_charge,0.001502618169971645
SeniorCitizen,0.0006896534042702845
Dependents,0.0006246850390190435
PaperlessBilling,0.0005901676693183109
high_charge_flag,0.0004420368327510823
Contract,0.000435218308667017
tickets_sq,0.0003784498654491693
gender,0.00020354162872343113
Partner,0.00019612544719500827
